0|T|Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage.|Surveillance clinique et, si besoin, contrôle des concentrations plasmatiques de carbamazépine et réduction éventuelle de sa posologie.|Increased plasma concentrations of carbamazepine overdose with signs of clinical surveillance.|Clinical surveillance and, if necessary, control of plasma concentrations of carbamazepine and possible reduction of its dosage.|http://tinyurl.com/24kn96t
1|T|Diminution de l'absorption digestive de ces deux médicaments par chélation du fer.||Decreased gastrointestinal absorption of both iron chelation drugs.||http://tinyurl.com/24kn96t
2|P|Pour des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) ou pour des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) : Insuffisance rénale aiguë chez le malade déshydraté, par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur.|Hydrater le malade et surveiller la fonction rénale en début de traitement.|For anti-inflammatory doses of acetylsalicylic acid (>= 1g per dose and / or >= 3g per day) or doses of analgesics or antipyretics (>= 500 mg per dose and / or <3g per day): Renal acute in the patient dehydrated by decreasing glomerular filtration secondary to decreased synthesis of renal prostaglandins. Furthermore, reduction of the antihypertensive effect.|Hydrate the patient and monitor renal function at baseline.|http://tinyurl.com/24kn96t
3|C|Majoration du risque hémorragique, notamment en cas d'antécédent d'ulcère gastro-duodénal.|Contre-indication avec :<br /> - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour)<br /> - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) et en cas d'antécédent d'ulcère gastro-duodénal|Increased risk of bleeding, particularly if a history of peptic ulcer.|Contraindication with: <br /> - Anti-inflammatory doses of acetylsalicylic acid (>= 1g per dose and / or>= 3g per day) <br /> - Doses of analgesics or antipyretics (>= 500 mg per dose and / or <3g per day) and if history of peptic ulcer|http://tinyurl.com/24kn96t
4|D|Majoration du risque hémorragique, notamment en cas d'antécédent d'ulcère gastro-duodénal.|Association déconseillée avec :<br /> - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) en l'absence d'antécédent d'ulcère gastro-duodénal<br /> - des doses antiagrégantes (de 50 mg à 375 mg par jour) et en cas d'antécédent d'ulcère gastro-duodénal. Nécéssité d'un contrôle, en particulier du temps de saignement.|Increased risk of bleeding, particularly if a history of peptic ulcer.|Association not recommended for: <br /> - Doses of analgesics or antipyretics (>= 500 mg per dose and / or <3g per day) in the absence of a history of peptic ulcer <br /> - Antiplatelet doses (50 mg to 375 mg per day) and if history of peptic ulcer. Necessity of control, particularly in bleeding time.|http://tinyurl.com/24kn96t
5|T|Majoration du risque hémorragique, notamment en cas d'antécédent d'ulcère gastro-duodénal.|A prendre en compte avec :<br /> - des doses antiagrégantes (de 50 mg à 375 mg par jour)|Increased risk of bleeding, particularly if a history of peptic ulcer.|To take into account with: <br /> - Antiplatelet doses (50 mg to 375 mg per day)|http://tinyurl.com/24kn96t
6|D|Majoration du risque ulcérogène et hémorragique digestif.|Association déconseillée avec :<br /> - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour)<br /> - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour)|Increased risk of gastrointestinal bleeding and ulcerogenic.|Association not recommended with: <br /> - Anti-inflammatory doses of acetylsalicylic acid (>= 1g per dose and / or>= 3g per day) <br /> - Doses of analgesics or antipyretics (>= 500 mg per dose and / or <3g per day)|http://tinyurl.com/24kn96t
7|T|Majoration du risque ulcérogène et hémorragique digestif.|A prendre en compte avec :<br /> - des doses antiagrégantes (de 50 mg à 375 mg par jour en 1 ou plusieurs prises)|Increased risk of gastrointestinal bleeding and ulcerogenic.|To take into account with: <br /> - Antiplatelet doses (50 mg to 375 mg per day in 1 or more doses)|http://tinyurl.com/24kn96t
8|D|Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.|Association déconseillée :<br /> - En dehors des indications validées pour cette association dans les syndromes coronariens aigus.|Increased risk of hemorrhagic activity by addition of antiplatelet.|Association not recommended: <br /> - Outside the approved indications for this combination in acute coronary syndromes.|http://tinyurl.com/24kn96t
9|P|Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.|Précaution d'emploi :<br /> - Dans les indications validées pour cette association dans les syndromes coronariens aigus. Surveillance clinique.|Increased risk of hemorrhagic activity by addition of antiplatelet.|Precautions for use: <br /> - In the valid indications for this combination in acute coronary syndromes. Clinical supervision.|http://tinyurl.com/24kn96t
10|T|Avec l'acide acétylsalicylique à doses anti-inflammatoires (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyrétiques (>= 500 mg par prise et/ou < 3g par jour) : majoration du risque ulcérogène et hémorragique digestif.||With acetylsalicylic acid-dose anti-inflammatory drugs (>= 1g per dose and / or>= 3g per day) or doses of analgesics or antipyretics (>= 500 mg per dose and / or <3g per day) increase in the ulcerogenic risk and gastrointestinal bleeding.||http://tinyurl.com/24kn96t
11|P|Pour des doses anti-inflammatoires d'acide acétylsalicylique (= 1g par prise et/ou = 3g par jour) ou pour des doses antalgiques ou antipyrétiques (= 500 mg par prise et/ou < 3g par jour) : Insuffisance rénale aiguë chez le malade déshydraté, par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur.|Hydrater le malade et surveiller la fonction rénale en début de traitement.|For anti-inflammatory doses of acetylsalicylic acid (= 1g per dose and / or = 3g per day) or doses of analgesics or antipyretics (= 500 mg per dose and / or <3g per day): Acute renal failure in the dehydrated patient by decreasing glomerular filtration secondary to decreased synthesis of renal prostaglandins. Furthermore, reduction of the antihypertensive effect.|Hydrate the patient and monitor renal function at baseline.|http://tinyurl.com/24kn96t
12|TD|Majoration du risque hémorragique.|Association déconseillée avec :<br /> - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) <br />A prendre en compte avec :<br /> - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour).|Increased risk of hemorrhagic.|Association not recommended with: <br /> - Anti-inflammatory doses of acetylsalicylic acid (>= 1g per dose and / or>= 3g per day) <br /> To take into account with: <br /> - Doses of analgesics or antipyretics (>= 500 mg per dose and / or <3g per day).|http://tinyurl.com/24kn96t
13|TD|Augmentation du risque hémorragique (inhibition de la fonction plaquettaire et agression de la muqueuse gastroduodénale par l'acide acétylsalicylique.|Association déconseillée avec :<br /> - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour)<br /> - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) Utiliser un autre anti-inflammatoire ou un autre antalgique ou antipyrétique. <br />A prendre en compte avec :<br /> - des doses antiagrégantes (de 50 mg à 375 mg par jour).|Increased risk of bleeding (inhibition of platelet function and aggression in the gastroduodenal mucosa by acetylsalicylic acid.|Association not recommended with: <br /> - Anti-inflammatory doses of acetylsalicylic acid (>= 1g per dose and / or>= 3g per day) <br /> - Doses of analgesics or antipyretics (>= 500 mg per dose and / or <3g per day) Use another anti-inflammatory or other analgesic or antipyretic. <br /> To take into account with: <br /> - Antiplatelet doses (50 mg to 375 mg per day).|http://tinyurl.com/24kn96t
14|T|L'utilisation conjointe de médicaments agissant à divers niveaux de l'hémostase majore le risque de saignement. Ainsi, chez le sujet de moins de 65 ans, l'association de l'héparine à doses préventives, ou de substances apparentées, à l'acide acétylsalicylique, quelle que soit la dose, doit être prise en compte en maintenant une surveillance clinique et éventuellement biologique.||The combined use of drugs acting at different levels of blood clotting increases the risk of bleeding. Thus, in subjects under 65 years, the association of heparin at preventive doses, or related compounds, acetylsalicylic acid, whatever the dose should be taken into account while maintaining clinical oversight and possibly biological.||http://tinyurl.com/24kn96t
15|TD|Augmentation du risque hémorragique (inhibition de la fonction plaquettaire et agression de la muqueuse gastroduodénale par l'acide acétylsalicylique).|Association déconseillée avec :<br /> - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour)<br /> - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) Utiliser un autre anti-inflammatoire ou un autre antalgique ou antipyrétique. <br />A prendre en compte avec :<br /> - des doses antiagrégantes (de 50 mg à 375 mg par jour).|Increased risk of bleeding (inhibition of platelet function and aggression in the gastroduodenal mucosa by acetylsalicylic acid ).|Association not recommended with: <br /> - Anti-inflammatory doses of acetylsalicylic acid (>= 1g per dose and / or>= 3g per day) <br /> - Doses of analgesics or antipyretics (>= 500 mg per dose and / or <3g per day) Use another anti-inflammatory or other analgesic or antipyretic. <br /> To take into account with: <br /> - Antiplatelet doses (50 mg to 375 mg per day).|http://tinyurl.com/24kn96t
16|T|L'utilisation conjointe de médicaments agissant à divers niveaux de l'hémostase majore le risque de saignement. Ainsi, chez le sujet de moins de 65 ans, l'association des héparines à doses préventives à l'acide acétylsalicylique, quelle que soit la dose, doit être prise en compte en maintenant une surveillance clinique et éventuellement biologique.||The combined use of drugs acting at different levels of blood clotting increases the risk of bleeding. Thus, in subjects under 65 years, the association of heparin preventing dose aspirin, regardless of the dose should be taken into account while maintaining clinical oversight and possibly biological.||http://tinyurl.com/24kn96t
17|P|Pour des doses anti-inflammatoires d'acide acétylsalicylique (= 1g par prise et/ou = 3g par jour) ou pour des doses antalgiques ou antipyrétiques (= 500 mg par prise et/ou < 3g par jour) : insuffisance rénale aiguë chez le malade déshydraté, par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur.|Hydrater le malade et surveiller la fonction rénale en début de traitement.|For anti-inflammatory doses of acetylsalicylic acid (= 1g per dose and / or = 3g per day) or doses of analgesics or antipyretics (= 500 mg per dose and / or <3g per day) renal failure in the dehydrated patient by decreasing glomerular filtration secondary to decreased synthesis of renal prostaglandins. Furthermore, reduction of the antihypertensive effect.|Hydrate the patient and monitor renal function at baseline.|http://tinyurl.com/24kn96t
18|T|Majoration du risque hémorragique.||Increased risk of hemorrhagic.||http://tinyurl.com/24kn96t
19|PC|Majoration de la toxicité, notamment hématologique, du méthotrexate (diminution de sa clairance rénale par les anti- inflammatoires).|Avec le méthotrexate utilisé à des doses > 20 mg/semaine :<br /> - contre-indication avec l'acide acétylsalicylique utilisé à doses antalgiques, antipyrétiques ou anti-inflammatoires<br /> - précaution d'emploi avec des doses antiagrégantes plaquettaires d'acide acétylsalicylique. Contrôle hebdomadaire de l'hémogramme durant les premières semaines de l'association. Surveillance accrue en cas d'altération (même légère) de la fonction rénale, ainsi que chez le sujet âgé. Avec le méthotrexate utilisé à des doses =< 20 mg/semaine :<br /> - précaution d'emploi avec l'acide acétylsalicylique utilisé à doses antalgiques, antipyrétiques ou anti-inflammatoires. Contrôle hebdomadaire de l'hémogramme durant les premières semaines de l'association. Surveillance accrue en cas d'altération (même légère) de la fonction rénale, ainsi que chez le sujet âgé.|Increase toxicity, especially hematologic, methotrexate (decreased renal clearance by anti-inflammatory ).|With methotrexate in doses> 20 mg / week: <br /> - Contraindication with acetylsalicylic acid doses used analgesics, antipyretics or anti-inflammatory <br /> - Precaution employment with antiplatelet doses of aspirin. Weekly monitoring of blood counts during the first weeks of the association. Enhanced surveillance in case of alteration (even mild) renal function and the elderly. With methotrexate in doses = <20 mg / week: <br /> - Precaution employment with acetylsalicylic acid doses used analgesics, antipyretics or anti-inflammatory. Weekly monitoring of blood counts during the first weeks of the association. Enhanced surveillance in case of alteration (even mild) renal function and the elderly.|http://tinyurl.com/24kn96t
